PartitionKey,RowKey,Timestamp,Folder,Foldertype,Height,Heighttype,ImageTypeId,ImageTypeIdtype,Jpg,Jpgtype,Quality,Qualitytype,Webp,Webptype,Width,Widthtype
pagewidget,PageWidget.936w,2020-03-23T10:46:52.988Z,936w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,936,Edm.Int32
pagewidget,PageWidget.950w,2020-03-23T10:46:52.598Z,950w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,950,Edm.Int32
product,Product.163f237,2020-03-23T10:47:00.560Z,163f237,Edm.String,237,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,163,Edm.Int32
product,Product.187f288,2020-03-23T10:47:00.076Z,187f288,Edm.String,288,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,187,Edm.Int32
product,Product.232f336,2020-03-23T10:46:59.854Z,232f336,Edm.String,336,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,232,Edm.Int32
product,Product.24f35,2020-03-23T10:47:04.742Z,24f35,Edm.String,35,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,24,Edm.Int32
product,Product.300f436,2020-03-23T10:46:58.972Z,300f436,Edm.String,436,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,300,Edm.Int32
product,Product.395f573,2020-03-23T10:46:57.892Z,395f573,Edm.String,573,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,395,Edm.Int32
product,Product.500x725,2020-03-23T10:46:56.445Z,500x725,Edm.String,725,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,500,Edm.Int32
product,Product.600x871,2020-03-23T10:46:55.771Z,600x871,Edm.String,871,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,600,Edm.Int32
product,Product.700x1016,2020-03-23T10:46:54.663Z,700x1016,Edm.String,1016,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,700,Edm.Int32
product,Product.1800w,2020-03-23T10:46:54.663Z,1800w,Edm.String,0,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1800,Edm.Int32
product,Product.77f112,2020-03-23T10:47:02.464Z,77f112,Edm.String,112,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,77,Edm.Int32
product,Product.90f131,2020-03-23T10:47:02.464Z,90f131,Edm.String,131,Edm.Int32,3,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,90,Edm.Int32
