PartitionKey,RowKey,Timestamp,Folder,Foldertype,Height,Heighttype,ImageTypeId,ImageTypeIdtype,Jpg,Jpgtype,Quality,Qualitytype,Webp,Webptype,Width,Widthtype
pagewidget,PageWidget.100w,2020-03-23T10:47:01.310Z,100w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,100,Edm.Int32
pagewidget,PageWidget.1340w,2020-03-23T10:46:51.312Z,1340w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1340,Edm.Int32
pagewidget,PageWidget.1360w,2020-03-23T10:46:51.058Z,1360w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1360,Edm.Int32
pagewidget,PageWidget.1500w,2020-03-23T10:46:50.407Z,1500w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1500,Edm.Int32
pagewidget,PageWidget.1900w,2020-03-23T10:46:49.469Z,1900w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,1900,Edm.Int32
pagewidget,PageWidget.227w,2020-03-23T10:46:59.419Z,227w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,227,Edm.Int32
pagewidget,PageWidget.2720w,2020-03-23T10:46:48.537Z,2720w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,2720,Edm.Int32
pagewidget,PageWidget.307w,2020-03-23T10:46:58.756Z,307w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,307,Edm.Int32
pagewidget,PageWidget.325w,2020-03-23T10:46:58.538Z,325w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,325,Edm.Int32
pagewidget,PageWidget.440w,2020-03-23T10:46:57.692Z,440w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,440,Edm.Int32
pagewidget,PageWidget.450w,2020-03-23T10:46:57.485Z,450w,Edm.String,0,Edm.Int32,26,Edm.Int32,false,Edm.Boolean,80,Edm.Int32,false,Edm.Boolean,450,Edm.Int32
